2025-11-28 09:17:25,607 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-11-28 09:17:25,646 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-11-28 09:17:25,648 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-11-28 09:17:25,648 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-11-28 09:17:25,650 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-11-28 09:17:25,650 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-11-28 09:17:25,651 INFO  SwAddin.cs: 201 - Setting up command manager
2025-11-28 09:17:25,651 INFO  SwAddin.cs: 204 - Adding command manager
2025-11-28 09:17:25,653 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-11-28 09:17:25,654 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-11-28 09:17:25,655 INFO  SwAddin.cs: 210 - Adding event handlers
2025-11-28 09:17:25,657 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-11-28 09:46:22,598 INFO  SwAddin.cs: 294 - Assembly export called for file 00-AssemblageGlobal
2025-11-28 09:46:22,601 INFO  SwAddin.cs: 299 - Save is required
2025-11-28 09:46:22,602 INFO  SwAddin.cs: 313 - Saving assembly
2025-11-28 09:46:22,602 INFO  SwAddin.cs: 316 - Opening property manager
2025-11-28 09:46:22,614 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 00-AssemblageGlobal
2025-11-28 09:46:22,620 INFO  ExportHelperExtension.cs: 1136 - Found 23 in 00-AssemblageGlobal
2025-11-28 09:46:22,620 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 00-AssemblageGlobal
2025-11-28 09:46:22,621 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-28 09:46:22,623 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-11-28 09:46:22,624 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 00-AssemblageGlobal.stp-1
2025-11-28 09:46:22,624 INFO  ExportHelperExtension.cs: 1136 - Found 92 in 00-AssemblageGlobal.stp-1
2025-11-28 09:46:22,624 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 00-AssemblageGlobal.stp-1
2025-11-28 09:46:22,625 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 00-AssemblageGlobal
2025-11-28 09:46:22,625 INFO  ExportHelperExtension.cs: 1136 - Found 23 in 00-AssemblageGlobal
2025-11-28 09:46:22,625 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 00-AssemblageGlobal
2025-11-28 09:46:22,625 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-28 09:46:22,626 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-11-28 09:46:22,626 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 00-AssemblageGlobal.stp-1
2025-11-28 09:46:22,626 INFO  ExportHelperExtension.cs: 1136 - Found 92 in 00-AssemblageGlobal.stp-1
2025-11-28 09:46:22,627 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 00-AssemblageGlobal.stp-1
2025-11-28 09:46:22,994 INFO  SwAddin.cs: 339 - Loading config tree
2025-11-28 09:46:22,997 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2025-11-28 09:46:23,004 INFO  SwAddin.cs: 344 - Showing property manager
2025-11-28 09:58:06,870 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-11-28 09:58:07,028 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-11-28 09:58:07,195 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-11-28 09:58:07,594 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-11-28 10:00:10,699 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2025-11-28 10:00:11,112 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-11-28 10:16:09,723 INFO  SwAddin.cs: 294 - Assembly export called for file 00-AssemblageGlobal
2025-11-28 10:16:09,724 INFO  SwAddin.cs: 299 - Save is required
2025-11-28 10:16:09,724 INFO  SwAddin.cs: 313 - Saving assembly
2025-11-28 10:16:09,724 INFO  SwAddin.cs: 316 - Opening property manager
2025-11-28 10:16:09,725 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 00-AssemblageGlobal
2025-11-28 10:16:09,725 INFO  ExportHelperExtension.cs: 1136 - Found 38 in 00-AssemblageGlobal
2025-11-28 10:16:09,725 INFO  ExportHelperExtension.cs: 1145 - Found 5 features of type [CoordSys] in 00-AssemblageGlobal
2025-11-28 10:16:09,726 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-28 10:16:09,726 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-11-28 10:16:09,726 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 00-AssemblageGlobal.stp-1
2025-11-28 10:16:09,727 INFO  ExportHelperExtension.cs: 1136 - Found 92 in 00-AssemblageGlobal.stp-1
2025-11-28 10:16:09,727 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 00-AssemblageGlobal.stp-1
2025-11-28 10:16:09,728 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 00-AssemblageGlobal
2025-11-28 10:16:09,728 INFO  ExportHelperExtension.cs: 1136 - Found 38 in 00-AssemblageGlobal
2025-11-28 10:16:09,729 INFO  ExportHelperExtension.cs: 1145 - Found 4 features of type [RefAxis] in 00-AssemblageGlobal
2025-11-28 10:16:09,729 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-11-28 10:16:09,729 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-11-28 10:16:09,730 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 00-AssemblageGlobal.stp-1
2025-11-28 10:16:09,730 INFO  ExportHelperExtension.cs: 1136 - Found 92 in 00-AssemblageGlobal.stp-1
2025-11-28 10:16:09,730 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 00-AssemblageGlobal.stp-1
2025-11-28 10:16:09,944 INFO  SwAddin.cs: 339 - Loading config tree
2025-11-28 10:16:09,947 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
